"","country","date","searches"
"171","Argentina",2003-04-27,0.034
"172","Bolivia",2003-04-27,0.097
"173","Brazil",2003-04-27,0.104
"174","India",2003-04-27,0.004
"175","Indonesia",2003-04-27,0.081
"176","Mexico",2003-04-27,0.072
"177","Philippines",2003-04-27,0.061
"178","Singapore",2003-04-27,0.128
"179","Thailand",2003-04-27,NA
"180","Venezuela",2003-04-27,0.263
"181","Argentina",2003-05-04,0.031
"182","Bolivia",2003-05-04,0.069
"183","Brazil",2003-05-04,0.089
"184","India",2003-05-04,0.007
"185","Indonesia",2003-05-04,0.068
"186","Mexico",2003-05-04,0.071
"187","Philippines",2003-05-04,0.059
"188","Singapore",2003-05-04,0.132
"189","Thailand",2003-05-04,NA
"190","Venezuela",2003-05-04,0.222
"191","Argentina",2003-05-11,0.039
"192","Bolivia",2003-05-11,0.064
"193","Brazil",2003-05-11,0.067
"194","India",2003-05-11,0
"195","Indonesia",2003-05-11,0.048
"196","Mexico",2003-05-11,0.06
"197","Philippines",2003-05-11,0.059
"198","Singapore",2003-05-11,0.14
"199","Thailand",2003-05-11,NA
"200","Venezuela",2003-05-11,0.2
"201","Argentina",2003-05-18,0.039
"202","Bolivia",2003-05-18,0.053
"203","Brazil",2003-05-18,0.109
"204","India",2003-05-18,0.019
"205","Indonesia",2003-05-18,0.061
"206","Mexico",2003-05-18,0.069
"207","Philippines",2003-05-18,0.057
"208","Singapore",2003-05-18,0.151
"209","Thailand",2003-05-18,NA
"210","Venezuela",2003-05-18,0.202
"211","Argentina",2003-05-25,0.039
"212","Bolivia",2003-05-25,0.064
"213","Brazil",2003-05-25,0.071
"214","India",2003-05-25,0.015
"215","Indonesia",2003-05-25,0.062
"216","Mexico",2003-05-25,0.074
"217","Philippines",2003-05-25,0.055
"218","Singapore",2003-05-25,0.175
"219","Thailand",2003-05-25,NA
"220","Venezuela",2003-05-25,0.177
"221","Argentina",2003-06-01,0.034
"222","Bolivia",2003-06-01,0.058
"223","Brazil",2003-06-01,0.08
"224","India",2003-06-01,0.031
"225","Indonesia",2003-06-01,0.082
"226","Mexico",2003-06-01,0.079
"227","Philippines",2003-06-01,0.062
"228","Singapore",2003-06-01,0.161
"229","Thailand",2003-06-01,NA
"230","Venezuela",2003-06-01,0.192
"231","Argentina",2003-06-08,0.039
"232","Bolivia",2003-06-08,0.042
"233","Brazil",2003-06-08,0.062
"234","India",2003-06-08,0.05
"235","Indonesia",2003-06-08,0.069
"236","Mexico",2003-06-08,0.088
"237","Philippines",2003-06-08,0.059
"238","Singapore",2003-06-08,0.15
"239","Thailand",2003-06-08,NA
"240","Venezuela",2003-06-08,0.186
"241","Argentina",2003-06-15,0.039
"242","Bolivia",2003-06-15,0.047
"243","Brazil",2003-06-15,0.036
"244","India",2003-06-15,0.094
