"","country","date","searches"
"158","Japan",2003-02-02,NA
"159","Mexico",2003-02-02,NA
"160","Netherlands",2003-02-02,NA
"161","New.Zealand",2003-02-02,NA
"162","Norway",2003-02-02,NA
"163","Paraguay",2003-02-02,NA
"164","Peru",2003-02-02,227
"165","Poland",2003-02-02,NA
"166","Romania",2003-02-02,NA
"167","Russia",2003-02-02,NA
"168","South.Africa",2003-02-02,NA
"169","Spain",2003-02-02,NA
"170","Sweden",2003-02-02,NA
"171","Switzerland",2003-02-02,NA
"172","Ukraine",2003-02-02,NA
"173","United.States",2003-02-02,NA
"174","Uruguay",2003-02-02,NA
"175","Argentina",2003-02-09,145
"176","Australia",2003-02-09,NA
"177","Austria",2003-02-09,NA
"178","Belgium",2003-02-09,NA
"179","Bolivia",2003-02-09,NA
"180","Brazil",2003-02-09,184
"181","Bulgaria",2003-02-09,NA
"182","Canada",2003-02-09,NA
"183","Chile",2003-02-09,0
"184","France",2003-02-09,NA
"185","Germany",2003-02-09,NA
"186","Hungary",2003-02-09,NA
"187","Japan",2003-02-09,NA
"188","Mexico",2003-02-09,NA
"189","Netherlands",2003-02-09,NA
"190","New.Zealand",2003-02-09,NA
"191","Norway",2003-02-09,NA
"192","Paraguay",2003-02-09,NA
"193","Peru",2003-02-09,250
"194","Poland",2003-02-09,NA
"195","Romania",2003-02-09,664
"196","Russia",2003-02-09,NA
"197","South.Africa",2003-02-09,NA
"198","Spain",2003-02-09,NA
"199","Sweden",2003-02-09,NA
"200","Switzerland",2003-02-09,NA
"201","Ukraine",2003-02-09,NA
"202","United.States",2003-02-09,NA
"203","Uruguay",2003-02-09,NA
"204","Argentina",2003-02-16,141
"205","Australia",2003-02-16,NA
"206","Austria",2003-02-16,NA
"207","Belgium",2003-02-16,NA
"208","Bolivia",2003-02-16,NA
"209","Brazil",2003-02-16,162
"210","Bulgaria",2003-02-16,NA
"211","Canada",2003-02-16,NA
"212","Chile",2003-02-16,0
"213","France",2003-02-16,NA
"214","Germany",2003-02-16,NA
"215","Hungary",2003-02-16,NA
"216","Japan",2003-02-16,NA
"217","Mexico",2003-02-16,NA
"218","Netherlands",2003-02-16,NA
"219","New.Zealand",2003-02-16,NA
"220","Norway",2003-02-16,NA
"221","Paraguay",2003-02-16,NA
"222","Peru",2003-02-16,236
"223","Poland",2003-02-16,NA
"224","Romania",2003-02-16,736
"225","Russia",2003-02-16,NA
"226","South.Africa",2003-02-16,NA
"227","Spain",2003-02-16,NA
"228","Sweden",2003-02-16,NA
"229","Switzerland",2003-02-16,NA
"230","Ukraine",2003-02-16,NA
"231","United.States",2003-02-16,NA
"232","Uruguay",2003-02-16,NA
"233","Argentina",2003-02-23,135
"234","Australia",2003-02-23,NA
"235","Austria",2003-02-23,NA
"236","Belgium",2003-02-23,NA
"237","Bolivia",2003-02-23,426
"238","Brazil",2003-02-23,194
"239","Bulgaria",2003-02-23,NA
"240","Canada",2003-02-23,NA
"241","Chile",2003-02-23,0
"242","France",2003-02-23,NA
"243","Germany",2003-02-23,NA
"244","Hungary",2003-02-23,NA
"245","Japan",2003-02-23,NA
